,Game_result,Citizen,Mafia,Don,Sheriff
5868,город,"['Сахара', 'Каменская', 'Гость', 'Гость', 'Гость', 'Гость']","['Гость', 'Люси']",Майор Ковальский,Маэстро
5869,мафия,"['Гость', 'Гость', 'Sub-Zero', 'Александр', 'Сахара', 'Гость']","['Каменская', 'NaLaбутенах']",Fox,Гость
5870,мафия,"['Fox', 'Каменская', 'Sub-Zero', 'Майор Ковальский', 'Сахара', 'Ангел']","['Гость', 'Док']",Гость,Гость
5871,город,"['Гость', 'Радио', 'Arsenal', 'Рапсодия', 'Гость', 'Ангел']","['Майор Ковальский', 'Профессор']",Жэ,Сахара
5872,город,"['Жэ', 'Sub-Zero', 'zorgan', 'Сахара', 'Гость', 'Гость']","['Александр', 'Гость']",Arsenal,Рапсодия
5873,город,"['Fox', 'Майор Ковальский', 'Sub-Zero', 'Сахара', 'Док', 'zorgan']","['Ангел', 'Рапсодия']",Жэ,Гость
5874,город,"['Гость', 'Гость', 'Сахара', 'Гость', 'Жэ', 'Гость']","['Гость', 'Рапсодия']",Александр,zorgan
5875,город,"['Sub-Zero', 'Fox', 'Майор Ковальский', 'Гость', 'Ангел', 'Гость']","['Жэ', 'Гость']",zorgan,Сахара
5876,город,"['Гость', 'Гость', 'Александр', 'Джульетта', 'Радио', 'Fox']","['Гость', 'Гость']",Майор Ковальский,Жэ
5877,город,"['Гость', 'Fox', 'Александр', 'Сахара', 'Радио', 'Гость']","['Sub-Zero', 'Гость']",Джульетта,Ангел
5878,город,"['Arsenal', 'Гость', 'Гость', 'Sub-Zero', 'Александр', 'Жэ']","['Гость', 'Док']",Маэстро,Майор Ковальский
5879,мафия,"['Радио', 'Жэ', 'Сахара', 'Джульетта', 'СПИ', 'Гость']","['Гость', 'Fox']",Гость,Майор Ковальский
5880,мафия,"['Жэ', 'Амика', 'Джульетта', 'Сахара', 'Гость', 'Sub-Zero']","['Гость', 'Fox']",Радио,Гость
5881,мафия,"['Гость', 'Гость', 'Сахара', 'Джульетта', 'Гость', 'Док']","['Майор Ковальский', 'Гость']",Гость,Fox
5882,город,"['Гость', 'Майор Ковальский', 'Гость', 'Сахара', 'Джульетта', 'Александр']","['Fox', 'Гость']",Гость,Sub-Zero
5883,город,"['Док', 'Гость', 'Sub-Zero', 'Fox', 'Сахара', 'Александр']","['Гость', 'Джульетта']",Гость,Гость
5884,мафия,"['Сахара', 'Радио', 'Док', 'Гость', 'Жэ', 'Гость']","['Рапсодия', 'Аноним']",Гость,zorgan
5885,мафия,"['Рапсодия', 'Жэ', 'Гость', 'Амика', 'Гость', 'Аноним']","['Радио', 'Гость']",zorgan,Док
5886,мафия,"['Майор Ковальский', 'Жэ', 'Гость', 'Гость', 'Гость', 'Док']","['Александр', 'Fox']",Sub-Zero,Ангел
5887,мафия,"['Sub-Zero', 'Гость', 'Гость', 'Гость', 'Майор Ковальский', 'Рапсодия']","['СПИ', 'Гость']",Гость,Гость
5888,мафия,"['Гость', 'Радио', 'Гость', 'Гость', 'Гость', 'Александр']","['Тигра', 'Moss']",Fox,СПИ
5889,город,"['Радио', 'Moss', 'Ангел', 'Власова', 'Гость', 'Маэстро']","['Профессор', 'СПИ']",Гость,Luna
5890,мафия,"['Тигра', 'Гость', 'Luna', 'Маэстро', 'Комфорка', 'Власова']","['Ангел', 'Александр']",Moss,Гость
5891,мафия,"['Радио', 'Власова', 'Гость', 'Александр', 'Тигра', 'Гость']","['Ангел', 'Moss']",Профессор,Гость
5892,город,"['Sub-Zero', 'Жэ', 'Каменская', 'zorgan', 'Дорога', 'Гость']","['Moss', 'Сахара']",Гость,Рапсодия
5893,город,"['Sub-Zero', 'Гость', 'Сахара', 'Дорога', 'Каменская', 'Гость']","['Жэ', 'Гость']",Luna,Ангел
5894,мафия,"['Гость', 'Джульетта', 'Рапсодия', 'Luna', 'Каменская', 'Ангел']","['Гость', 'Moss']",Дорога,Сахара
5895,город,"['Fox', 'Джульетта', 'Sub-Zero', 'Рапсодия', 'Arsenal', 'Ангел']","['Гость', 'Гость']",Moss,Каменская
5896,город,"['zorgan', 'Каменская', 'Дорога', 'Arsenal', 'Александр', 'Гость']","['Fox', 'Сахара']",Гость,Sub-Zero
